id,amount,currency,status,order_id,invoice_id,international,method,amount_refunded,amount_transferred,refund_status,captured,description,card_id,card,bank,wallet,vpa,email,contact,notes,fee,tax,error_code,error_description,created_at,card_type,card_network
pay_D80POPAt0iIDMM,6490.00,INR,captured,order_YWMuVUEW5SsEZk,,0,card,0.00,0.00,,1,,,,SBIN,,,,,[],77.88,14.02,,,01/06/2026 00:00:00,debit,
pay_vMwJgHNlcAlHXJ,4090.50,INR,captured,order_itk7gpIC35mbDR,,0,card,0.00,0.00,,1,,,,KKBK,,,,,[],49.09,8.84,,,2026-01-06 07:13:29,debit,
pay_DD19JJdE6GkOg6,23664.50,INR,captured,order_NLnvKtDrIhUZsY,,0,upi,0.00,0.00,,1,,,,,,,,,[],473.29,85.19,,,01/06/2026 14:26:58,,
pay_G1Lbnwa9Fbdtwx,19544.00,INR,captured,order_zfoCneSqMaICLU,,0,upi,0.00,0.00,,1,,,,,,,,,[],390.88,70.36,,,2026-06-01 21:39:27,,
pay_2Y7hNwD3EXGTgM,328.00,INR,captured,order_9YIL8HWKhYlQYR,,0,upi,0.00,0.00,,1,,,,,,,,,[],6.56,1.18,,,01/06/2026 04:52:56,,
pay_EYOkfeoEvi2wDX,5335.00,INR,captured,order_WHuiURde0kiQoE,,0,upi,0.00,0.00,,1,,,,,,,,,[],106.70,19.21,,,2026-06-01 11:05:25,,
pay_4l8YAueCP4BwtK,3369.00,INR,captured,order_qjwS2jS7MoEQsp,,0,upi,0.00,0.00,,1,,,,,,,,,[],67.38,12.13,,,2026-06-01 18:18:54,,
pay_hgvhqXuC2TdA29,24285.50,INR,captured,order_pUG2slxDrrHtD2,,0,upi,0.00,0.00,,1,,,,,,,,,[],485.71,87.43,,,2026-06-01 01:31:23,,
pay_5SllD6CugxAYgR,20549.00,INR,captured,order_YSTum7cIrAvPBx,,0,upi,0.00,0.00,,1,,,,,,,,,[],410.98,73.98,,,2026-06-01 08:44:52,,
pay_duVqMsUp4mj5sq,2841.50,INR,captured,order_ToYLurfqZ52VYb,,0,upi,0.00,0.00,,1,,,,,,,,,[],56.83,10.23,,,2026-06-01 15:57:21,,
pay_h7fRvq2QUg8Z1y,613.50,INR,captured,order_lStvH6azqmdVvx,,0,upi,0.00,0.00,,1,,,,,,,,,[],12.27,2.21,,,46174.92418981482,,
pay_z1WLJgJdgScJpA,8867.00,INR,captured,order_EA54qGA2TyJt3w,,0,card,0.00,0.00,,1,,,,HDFC,,,,,[],106.40,19.15,,,01/06/2026 05:23:19,debit,
pay_dslRriw2gO1tHy,2839.00,INR,captured,order_vV4CtLAqTUwY7v,,0,card,0.00,0.00,,1,,,,,,,,,[],34.07,6.13,,,2026-06-01 12:36:48,debit,
pay_2jJJePkuBmbgkX,20192.00,INR,captured,order_SMm1RZlHaEMkBL,,0,card,0.00,0.00,,1,,,,HDFC,,,,,[],242.30,43.61,,,2026-06-01 19:49:17,debit,
pay_VzDU34GmrMAuRu,20170.00,INR,captured,order_i0L9MO2aj0rxGI,,0,upi,0.00,0.00,,1,,,,,,,,,[],403.40,72.61,,,01/06/2026 02:02:46,,
pay_midEnmBJOfwM6Z,7319.00,INR,captured,order_1PJCBFDwvKa251,,0,upi,0.00,0.00,,1,,,,,,,,,[],146.38,26.35,,,2026-06-01 09:15:15,,
pay_G9NeP7y4JZ6bXL,4666.50,INR,captured,order_g23aNs0JGWXaHC,,0,wallet,0.00,0.00,,1,,,,,,,,,[],93.33,16.80,,,01/06/2026 16:28:44,,
pay_YVmTzDDGpodhOe,14995.00,INR,captured,order_84wRbCOgdMk725,,0,netbanking,0.00,0.00,,1,,,,ICICI,,,,,[],262.41,47.23,,,2026-06-01 23:41:13,,
pay_yLveebXZUDmOiI,4567.00,INR,captured,order_8Hrz1PPjfz7CdV,,0,upi,0.00,0.00,,1,,,,,,,,,[],91.34,16.44,,,01/06/2026 06:54:42,,
pay_uOYgjdxEZgvkh4,8121.00,INR,captured,order_HQaYetK5V26lCM,,0,upi,0.00,0.00,,1,,,,,,,,,[],162.42,29.24,,,2026-06-01 13:07:11,,
pay_L1FE6qk6dCuxOj,1939.00,INR,captured,order_pdqnIfNB8501de,,0,upi,0.00,0.00,,1,,,,,,,,,[],38.78,6.98,,,01/06/2026 20:20:40,,
pay_jrTKkVQ0LhRpl9,978.00,INR,captured,order_BaZze90QvZMtMC,,0,wallet,0.00,0.00,,1,,,,,,,,,[],19.56,3.52,,,01/06/2026 03:33:09,,
